Id,name,blocksBattleonEntry,blocksLineofSight,InfantryINTOPenalty,CavalryINTOPenalty,ArtilleryINTOPenalty,InfantryOutPenalty,CavalryOutPenalty,ArtilleryOutPenalty,meleeMaxDice,rangedMaxDice,meleeINTOMaxDice,meleeOutMaxDice,rangedINTOMaxDice,rangedOutMaxDice,battleOnEntryRule,terrainPostRollNote,terrainRuleSource
clear,Clear,FALSE,FALSE,0,0,0,0,0,0,,,"","","","","","",https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
hill,Hill,FALSE,TRUE,0,0,0,0,0,0,"","","","","","","",Hill Close Combat cap is derived from relative position: uphill max 2; downhill or hill-to-hill max 3 for foot and max 2 for mounted. Hill does not add a ranged dice cap.,https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
forest,Forest,TRUE,TRUE,0,0,0,0,0,0,2,1,2,2,1,"",noBattleExceptForestUnits,Forest blocks line of sight. Command cards that add dice modify the terrain maximum.,https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
broken-ground,Broken Ground,FALSE,FALSE,0,0,NA,0,0,NA,2,,2,2,"","",mountedNoBattle;warMachineMayNotEnter,Broken Ground does not affect Ranged Combat dice. Command cards that add dice modify the Close Combat maximum.,https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
fordable-river,Fordable River,FALSE,FALSE,0,0,0,0,0,0,2,1,2,2,"",1,mayBattleAfterEntry;mustStopOnEntry,Fordable River does not block line of sight. A unit may still Momentum Advance after successful Close Combat.,https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
river,River,TRUE,FALSE,NA,NA,NA,NA,NA,NA,,,"","","","",impassable,River hexes are normally impassable unless scenario rules specify otherwise.,https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
marsh,Marsh,FALSE,FALSE,0,0,NA,0,0,NA,2,1,"","","","","","",https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
bridge,Bridge,FALSE,FALSE,0,0,0,0,0,0,2,1,"","","","","","",https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
rampart,Rampart,FALSE,FALSE,0,0,0,0,0,0,,,"","","","","","Rampart protection applies only through protected forward hexsides: disregard one sword and one flag in Close Combat, or one flag from Ranged Combat. Mounted units receive no rampart protection.",https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
fortified-camp,Fortified Camp,FALSE,TRUE,0,0,0,0,0,0,,-1,"","","","","","Defending foot units on Fortified Camp disregard one sword and may disregard one flag in Close Combat, or one flag from Ranged Combat. Mounted units receive no protective benefit.",https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
scalable-city-wall,Scalable City Wall,TRUE,TRUE,0,NA,NA,0,NA,NA,2,,"","","","","","",https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
fortified-city-wall,Fortified City Wall,TRUE,TRUE,NA,NA,NA,NA,NA,NA,,,"","","","","","",https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
seacoast,Seacoast,TRUE,FALSE,NA,NA,NA,NA,NA,NA,,,"","","","",impassable,Seacoast is impassable and does not block line of sight.,https://www.commandsandcolors.net/ancients/the-game/main/16-terrain.html
