id,factionID,name,unitClass,symbolGroup,mobilityGroup,combatWeight,evadeFromCategories,maxBlocks,move,range,holdFireDice,moveFireDice,rangedMaxMove,rangedRuleSource,meleeDice,closeCombatMaxMove,battleBackDiceOverride,canEvade,retreatDistance,canMomentumAdvance,canBonusCloseCombat,swordsHit,canBattleAfterEnteringForest,postRollNote,closeCombatRuleSource,special
light-infantry,generic,Light Infantry,infantry,green,foot,light,all,4,2,2,2,1,2,https://www.commandsandcolors.net/ancients/the-game/main/10-ranged-combat-fire.html,2,2,,TRUE,2,TRUE,FALSE,FALSE,TRUE,Swords do not score hits for this unit in Close Combat.,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,
light-bow-infantry,generic,Light Bow Infantry,infantry,green,foot,light,all,4,2,3,2,1,2,https://www.commandsandcolors.net/ancients/the-game/main/10-ranged-combat-fire.html,2,2,,TRUE,2,TRUE,FALSE,FALSE,TRUE,Swords do not score hits for this unit in Close Combat.,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,
light-sling-infantry,generic,Light Sling Infantry,infantry,green,foot,light,all,4,2,3,2,1,2,https://www.commandsandcolors.net/ancients/the-game/main/10-ranged-combat-fire.html,2,2,,TRUE,2,TRUE,FALSE,FALSE,TRUE,Swords do not score hits for this unit in Close Combat.,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,
auxilia-infantry,generic,Auxilia Infantry,infantry,blue,foot,medium,none,4,1-2NB,2,2,1,1,https://www.commandsandcolors.net/ancients/the-game/main/10-ranged-combat-fire.html,3,1,,FALSE,1,TRUE,FALSE,TRUE,TRUE,,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,
warrior-infantry,generic,Warrior Infantry,infantry,blue,foot,medium,none,4,1-2,0,0,0,,,3-4,2,,FALSE,2,TRUE,TRUE,TRUE,TRUE,"Full-strength Warriors may ignore one flag. If they lose the first block during this same combat and Battle Back, they still use the full-strength bonus for that Battle Back.",https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,"4 dice when full strength, ignore 1 flag when full strength"
medium-infantry,generic,Medium Infantry,infantry,blue,foot,medium,none,4,1,0,0,0,,,4,1,,FALSE,1,TRUE,FALSE,TRUE,FALSE,,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,
medium-hoplite-infantry,generic,Medium Hoplite Infantry,infantry,blue,foot,medium,none,4,1,0,0,0,,,4,1,,FALSE,1,TRUE,FALSE,TRUE,FALSE,"Hoplite rule: when in effect, may be ordered by Mounted Charge or Order Mounted; Mounted Charge gives +1 Close Combat die when applicable.",https://www.commandsandcolors.net/ancients/the-game/main/units/medium-hoplite-infantry-mh.html,same normal combat profile as Medium Infantry; Hoplite card/scenario rule may apply
heavy-infantry,generic,Heavy Infantry,infantry,red,foot,heavy,none,4,1,0,0,0,,,5,1,,FALSE,1,TRUE,FALSE,TRUE,FALSE,,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,
light-cavalry,generic,Light Cavalry,cavalry,green,mounted,light,all,3,4,2,2,1,4,https://www.commandsandcolors.net/ancients/the-game/main/10-ranged-combat-fire.html,2,4,,TRUE,4,TRUE,TRUE,FALSE,FALSE,NOTE: SABERS do NOT score hits for Light Cavalry in Close Combat, https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,retreat +1 hex per flag when attacked by elephants/camels
light-bow-cavalry,generic,Light Bow Cavalry,cavalry,green,mounted,light,all,3,4,3,2,1,4,https://www.commandsandcolors.net/ancients/the-game/main/10-ranged-combat-fire.html,2,4,,TRUE,4,TRUE,TRUE,FALSE,FALSE,Swords do not score hits for this unit in Close Combat.,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,retreat +1 hex per flag when attacked by elephants/camels
medium-cavalry,generic,Medium Cavalry,cavalry,blue,mounted,medium,foot|heavyMounted,3,3,0,0,0,,,3,3,,TRUE,3,TRUE,TRUE,TRUE,FALSE,,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,evade only vs foot and heavy mounted
heavy-cavalry,generic,Heavy Cavalry,cavalry,red,mounted,heavy,foot|elephant,3,2,0,0,0,,,4,2,,TRUE,2,TRUE,TRUE,TRUE,FALSE,,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,evade only vs foot and elephants
light-chariot,generic,Light Chariot,chariot,green,mounted,light,all,3,3,3,2,2,3,https://www.commandsandcolors.net/ancients/the-game/main/10-ranged-combat-fire.html,2,3,,TRUE,3,TRUE,TRUE,FALSE,FALSE,,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,ignore 1 sword hit
light-barbarian-chariot,generic,Light Barbarian Chariot,chariot,green,mounted,light,all,2,3,0,0,0,,,3-2,3,,TRUE,3,TRUE,TRUE,TRUE,FALSE,Chariot units ignore one sword hit in Close Combat. Full-strength Light Barbarian Chariots may ignore one flag.,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,3 dice at full strength else 2; ignore 1 sword
heavy-chariot,generic,Heavy Chariot,chariot,red,mounted,heavy,foot|elephant,2,2,0,0,0,,,4,2,3,TRUE,2,TRUE,TRUE,TRUE,FALSE,Chariot units ignore one sword hit in Close Combat. Heavy Chariots roll 3 dice when Battling Back.,https://www.commandsandcolors.net/ancients/the-game/main/11-close-combat.html,battle back 3 dice; ignore 1 sword
