Id,name,blocksBattleonEntry,blocksLineofSight,InfantryINTOPenalty,CavalryINTOPenalty,ArtilleryINTOPenalty,InfantryOutPenalty,CavalryOutPenalty,ArtilleryOutPenalty,InfantryMeleeINTO,CavalryMeleeINTO,ArtilleryMeleeINTO,MayFormSquare
hill,Hill,FALSE,TRUE,-1,-1,0,0,-1,0,0,0,0,TRUE
forest,Forest,TRUE,TRUE,-1,-2,-1,0,-2,-1,0,0,0,TRUE
bridge,Bridge,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE
fordable,Fordable River,FALSE,FALSE,0,0,0,-1,-1,-1,-1,-1,-1,TRUE
town,Town,TRUE,TRUE,-2,-3,-1,0,-3,-1,0,0,0,FALSE
church,Church,TRUE,TRUE,-2,-3,-1,0,-3,-1,0,0,0,FALSE
walled-farm,Walled Farm,TRUE,TRUE,-2,-3,-1,0,-3,-1,0,0,0,FALSE
castle,Castle,TRUE,TRUE,-2,-3,-1,0,-3,-1,0,0,0,FALSE
marsh,Marsh,FALSE,FALSE,0,0,0,-1,-1,-1,-1,-1,-1,FALSE
sand-quarry,Sand Quarry,FALSE,FALSE,0,-2,-1,-1,-2,NA,-1,0,0,FALSE
walled-garden,Walled Garden,TRUE,TRUE,-1,-2,-1,0,-2,-1,0,0,0,TRUE
clear,Clear,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE
