id,countryID,name,unitClass,maxBlocks,maxMovement,maxMovementToShoot,range,standingFireRule,movingFireRule,meleeDiceRule,meleeBonusVsInfantry,canBattleAfterEnteringTerrainIDs,hasSaber,isMeleeOnly,artilleryStandingMultiBlock,artilleryStandingSingleBlock,artilleryMovingMultiBlock,artilleryMovingSingleBlock,ignoreFlags
french-line-infantry,france,French Line Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocks,TRUE,,TRUE,,,,,,0
french-light-infantry,france,French Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,0
french-grenadier,france,French Grenadier,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocksPlusOne,FALSE,,TRUE,,,,,,1
french-young-guard,france,French Young Guard,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,1
french-old-guard,france,French Old Guard,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusTwo,FALSE,,TRUE,,,,,,2
french-militia,france,French Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,FALSE,,,,,,0
british-line-infantry,britain,British Line,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,TRUE,,,,,,0
british-light-infantry,britain,British Light Infantry,infantry,5,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,0
british-rifles,britain,British Rifles,infantry,3,2,1,3,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,FALSE,,,,,,0
british-grenadier,britain,British Grenadier,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,,1
british-guard_grenadier,britain,British Guard Grenadier,infantry,5,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,,2
british-highland,britain,British Highland,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,FALSE,,,,,,1
