TestDataFile,,,,,,,,,,,,,,,,,,
id,name,movedHexes,targetDistance,attackerUnitID,attackerBlocks,attackerTerrainID,defenderUnitID,defenderBlocks,defenderTerrainID,isCombinedAttack,supportingUnitCountryID,supportingUnitID,supportingUnitBlocks,supportingUnitTerrainID,supportingUnitInSquare,supportingUnitMovedIntoMelee,expectedAllowed,expectedFinalDice
t600,FranceVsBritain_FrenchLineMeleeIntoHillVsBritishLineOnHill,1,1,french-line-infantry,4,clear,british-line-infantry,4,hill,FALSE,,,,,FALSE,,TRUE,4
t601,FranceVsBritain_FrenchLineMeleeOutOfHillVsBritishLineInClear,1,1,french-line-infantry,4,hill,british-line-infantry,4,clear,FALSE,,,,,FALSE,,TRUE,5
t602,FranceVsBritain_FrenchGrenadierMeleeIntoTownVsBritishLineInTown,1,1,french-grenadier,4,clear,british-line-infantry,4,town,FALSE,,,,,FALSE,,TRUE,3
t603,FranceVsBritain_FrenchGrenadierMeleeOutOfTownVsBritishLineInClear,1,1,french-grenadier,4,town,british-line-infantry,4,clear,FALSE,,,,,FALSE,,FALSE,
t604,FranceVsBritain_FrenchLightInfantryMovedIntoForestMeleeAllowedVsBritishLineInClear,1,1,french-light-infantry,4,forest,british-line-infantry,4,clear,FALSE,,,,,FALSE,,TRUE,4
t605,FranceVsBritain_FrenchGrenadierMovedIntoForestMeleeBlockedVsBritishLineInClear,1,1,french-grenadier,4,forest,british-line-infantry,4,clear,FALSE,,,,,FALSE,,FALSE,
t606,FranceVsBritain_BritishRiflesRangedIntoForestRange3VsFrenchLineInForest,0,3,british-rifles,3,clear,french-line-infantry,4,forest,FALSE,,,,,FALSE,,TRUE,3
t607,FranceVsBritain_FrenchLineRangedIntoForestRange3OutOfRangeVsBritishLineInForest,0,3,french-line-infantry,4,clear,british-line-infantry,4,forest,FALSE,,,,,FALSE,,FALSE,
t608,FranceVsBritain_FrenchYoungGuardRangedIntoTownAdjacencyBlockedVsBritishLineInTown,0,1,french-young-guard,4,clear,british-line-infantry,4,town,FALSE,,,,,FALSE,,TRUE,3
t609,FranceVsBritain_BritishHorseArtilleryMoved1RangedIntoHillRange2AllowedVsFrenchLineOnHill,1,2,british-horse-artillery,3,clear,french-line-infantry,4,hill,FALSE,,,,,FALSE,,TRUE,2
t610,FranceVsBritain_BritishHorseArtilleryMoved2RangedIntoHillRange2BlockedVsFrenchLineOnHill,2,2,british-horse-artillery,3,clear,french-line-infantry,4,hill,FALSE,,,,,FALSE,,TRUE,0
t611,FranceVsBritain_BritishFootArtilleryMoved1RangedIntoTownRange3BlockedVsFrenchLineInTown,1,3,british-foot-artillery,3,clear,french-line-infantry,4,town,FALSE,,,,,FALSE,,TRUE,0
t612,FranceVsBritain_FrenchFootArtilleryStandingRangedIntoChurchRange4VsBritishLineInChurch,0,4,french-foot-artillery,3,clear,british-line-infantry,4,church,FALSE,,,,,FALSE,,TRUE,0
t620,FranceVsPortugal_FrenchLineMeleeIntoForestVsPortugueseLineInForest,1,1,french-line-infantry,4,clear,portuguese-line-infantry,4,forest,FALSE,,,,,FALSE,,TRUE,4
t621,FranceVsPortugal_FrenchYoungGuardMovedIntoWalledFarmMeleeAllowedVsPortugueseLineInClear,1,1,french-young-guard,4,walled-farm,portuguese-line-infantry,4,clear,FALSE,,,,,FALSE,,FALSE,
t622,FranceVsPortugal_FrenchLineMeleeIntoTownVsPortugueseMilitiaInTown,1,1,french-line-infantry,4,clear,portuguese-militia-infantry,4,town,FALSE,,,,,FALSE,,TRUE,3
t623,FranceVsPortugal_PortugueseLightInfantryRangedIntoHillRange2VsFrenchGrenadierOnHill,0,2,portuguese-light-infantry,4,clear,french-grenadier,4,hill,FALSE,,,,,FALSE,,TRUE,4
t630,FranceVsSpain_SpanishLineMeleeIntoTownMovedPenaltyVsFrenchLineInTown,1,1,spanish-line-infantry,4,clear,french-line-infantry,4,town,FALSE,,,,,FALSE,,TRUE,1
t631,FranceVsSpain_SpanishLineMeleeIntoTownNoMoveBetterVsFrenchLineInTown,0,1,spanish-line-infantry,4,clear,french-line-infantry,4,town,FALSE,,,,,FALSE,,TRUE,2
