ID,name,movedHexes,targetDistance,attackerUnitID,attackerBlocks,attackerTerrainID,defenderUnitID,defenderBlocks,defenderTerrainID,isCombinedAttack,supportingUnitCountryID,supportingUnitID,supportingUnitBlocks,supportingUnitTerrainID,supportingUnitInSquare,supportingUnitMovedIntoMelee,expectedAllowed,expectedFinalDice
t100,FranceVsBritain_FrenchLineMeleeIntoForestVsBritishLineInForest,1,1,french-line-infantry,4,clear,british-line-infantry,4,forest,FALSE,,,,,,,TRUE,4
t101,BritainVsFrance_BritishRiflesRangedIntoHillVsFrenchGrenadierOnHill,0,3,british-rifles,3,clear,french-grenadier,4,hill,FALSE,,,,,,,TRUE,3
t102,SpainVsFrance_SpanishLineMeleeIntoTownVsFrenchLineInTown,1,1,spanish-line-infantry,4,clear,french-line-infantry,4,town,FALSE,,,,,,,TRUE,1
t103,AustriaVsFrance_AustrianGrenzerMeleeIntoForestVsFrenchLightInForest,1,1,austrian-grenzer-infantry,4,fordable,french-light-infantry,4,forest,FALSE,,,,,,,TRUE,2
t104,PortugalVsFrance_PortugueseLightInfantryRangedIntoWalledFarmVsFrenchLineInWalledFarm,0,2,portuguese-light-infantry,4,clear,french-line-infantry,4,walled-farm,FALSE,,,,,,,TRUE,3
t105,RussiaVsPrussia_RussianGuardGrenadierMeleeIntoCastleVsPrussianLineInCastle,1,1,russian-guard-grenadier,4,clear,prussian-line-infantry,4,castle,FALSE,,,,,,,TRUE,3
t106,PrussiaVsAustria_PrussianGuardGrenadierMeleeIntoSandQuarryVsAustrianLine,1,1,prussian-guard-grenadier,4,clear,austrian-line-infantry,5,sand-quarry,FALSE,,,,,,,TRUE,4
t107,FranceVsRussia_FrenchOldGuardMeleeIntoChurchVsRussianGuardGrenadier,1,1,french-old-guard,4,clear,russian-guard-grenadier,4,church,FALSE,,,,,,,TRUE,4
t108,SpainVsBritain_SpanishLightRangedIntoGardenVsBritishLight,1,2,spanish-light-infantry,5,clear,british-light-infantry,4,walled-garden,FALSE,,,,,,,TRUE,3
t109,PortugalVsBritain_PortugueseLineMeleeIntoFieldworksVsBritishLine,2,1,portuguese-line-infantry,4,clear,british-line-infantry,4,fieldworks-clear,FALSE,,,,,,,FALSE,
t110,FranceVsAustria_FrenchCuirassierChargeVsAustrianLineOnHill,2,1,french-cuirassier-heavy,4,clear,austrian-line-infantry,5,hill,FALSE,,,,,,,TRUE,4
t111,AustriaVsFrance_AustrianHussarsChargeVsFrenchLight,2,1,austrian-light-cavalry,4,town,french-light-infantry,4,clear,FALSE,,,,,,,FALSE,
t112,BritainVsFrance_BritishHeavyCavalryChargeVsFrenchGrenadier,2,1,british-heavy-cavalry,3,clear,french-grenadier,4,clear,FALSE,,,,,,,TRUE,4
t113,RussiaVsFrance_RussianCossacksChargeVsFrenchLight,2,1,russian-cossack,2,forest,french-light-infantry,4,clear,FALSE,,,,,,,TRUE,2
