id,countryID,name,unitClass,maxBlocks,maxMovement,maxMovementToShoot,range,standingFireRule,movingFireRule,meleeDiceRule,meleeBonusVsInfantry,canBattleAfterEnteringTerrainIDs,hasSaber,isMeleeOnly,artilleryStandingMultiBlock,artilleryStandingSingleBlock,artilleryMovingMultiBlock,artilleryMovingSingleBlock
french-line-infantry,france,French Line Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocks,TRUE,,TRUE,,,,,
french-light-infantry,france,French Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,
french-grenadier,france,French Grenadier,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocksPlusOne,FALSE,,TRUE,,,,,
french-young-guard,france,French Young Guard,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,
french-old-guard,france,French Old Guard,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,
french-militia,france,French Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,FALSE,,,,,
british-line-infantry,britain,British Line,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,TRUE,,,,,
british-light-infantry,britain,British Light Infantry,infantry,5,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,
british-rifles,britain,British Rifles,infantry,3,2,1,3,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,FALSE,,,,,
british-grenadier,britain,British Grenadier,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,
british-guard_grenadier,britain,British Guard Grenadier,infantry,5,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,
british-highland,britain,British Highland,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,FALSE,,,,,
portuguese-line-infantry,portugal,Portuguese Line Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,TRUE,,,,,
portuguese-light-infantry,portugal,Portuguese Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocks,FALSE,,TRUE,,,,,
portuguese-militia-infantry,portugal,Portuguese Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,FALSE,,,,,
spanish-line-infantry,spain,Spanish Line Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDownMinusOne,currentBlocksMinusOneIfMoved,FALSE,,TRUE,,,,,
spanish-light-infantry,spain,Spanish Light Infantry,infantry,5,2,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocksMinusOneIfMoved,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,
spanish-grenadier,spain,Spanish Grenadier,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocksMinusOneIfMoved,FALSE,,TRUE,,,,,
spanish-militia,spain,Spanish Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDownMinusOne,currentBlocksMinusOneIfMoved,FALSE,,FALSE,,,,,
russian-line-infantry,russia,Russian Line Infantry,infantry,3,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,TRUE,,,,,
russian-light-infantry,russia,Russian Light Infantry,infantry,3,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,
russian-grenadier,russia,Russian Grenadier,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocksPlusOne,FALSE,,TRUE,,,,,
russian-guard-light-infantry,russia,Russian Guard Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,
russian-guard-grenadier,russia,Russian Guard Grenadier,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,
russian-militia,russia,Russian Militia,infantry,4,2,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,FALSE,,,,,
prussian-line-infantry,prussia,Prussian Line Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocksPlusOne,FALSE,,TRUE,,,,,
prussian-light-infantry,prussia,Prussian Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,
prussian-grenadier,prussia,Prussian Grenadier,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocksPlusOne,FALSE,,TRUE,,,,,
prussian-guard-grenadier,prussia,Prussian Guard Grenadier,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,
prussian-reserve-infantry,prussia,Prussian Reserve Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,TRUE,,,,,
prussian-militia,prussia,Prussian Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,FALSE,,,,,
austrian-line-infantry,austria,Austrian Line Infantry,infantry,5,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,TRUE,,,,,
austrian-light-infantry,austria,Austrian Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocks,FALSE,,TRUE,,,,,
austrian-grenzer-infantry,austria,Austrian Grenzer Infantry,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedDownPlusOne,currentBlocksPlusOne,FALSE,,FALSE,,,,,
austrian-militia,austria,Austrian Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedDown,currentBlocks,FALSE,,FALSE,,,,,
french-foot-artillery,france,French Foot Artillery,artillery,3,1,0,5,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,
french-horse-artillery,france,French Horse Artillery,artillery,3,2,1,4,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1,2|1|1,3|2|1,
french-guard-foot-artillery,france,French Guard Foot Artillery,artillery,3,1,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,5|3|2|1|1,4|2|1|1,,
french-guard-horse-artillery,france,French Guard Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|2|1|1,4|2|1,3|1|1,
british-foot-artillery,britain,British Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,
british-horse-artillery,britain,British Horse Artillery,artillery,3,2,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1|1,3|2|1,2|1|1,
british-rocket-battery,britain,British Rocket Battery,artillery,3,2,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,2|2|2|2|2,,,
portuguese-foot-artillery,portugal,Portuguese Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,
spanish-foot-artillery,spain,Spanish Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,
austrian-foot-artillery,austria,Austrian Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,
austrian-horse-artillery,austria,Austrian Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1|1,3|2|1,2|1|1,
russian-foot-artillery,russia,Russian Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,
russian-guard-foot-artillery,russia,Russian Guard Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,5|3|2|1|1,4|2|1|1,,
russian-horse-artillery,russia,Russian Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1|1,3|2|1,2|1|1,
russian-guard-horse-artillery,russia,Russian Guard Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|2|1|1,4|2|1,3|1|1,
prussian-foot-artillery,prussia,Prussian Foot Artillery,artillery,3,1,0,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,4|3|2|1|1,3|2|1|1,,
prussian-horse-artillery,prussia,Prussian Horse Artillery,artillery,3,2,1,0,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,,3|2|1|1,3|2|1,2|1|1,
french-light-cavalry,france,French Light Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
french-light-lancer,france,French Light Lancer,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
french-guard-light-cavalry,france,French Guard Light Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
french-guard-heavy-cavalry,france,French Guard Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
french-heavy-cavalry,france,French Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
french-cuirassier-heavy-cavalry,france,French Cuirassier Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
british-light-cavalry,britain,British Light Cavalry,cavalry,3,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
british-heavy-cavalry,britain,British Heavy Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
british-guard-heavy-cavalry,britain,British Guard Heavy Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
portuguese-light-cavalry,portugal,Portuguese Light Cavalry,cavalry,3,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
portuguese-heavy-cavalry,portugal,Portuguese Heavy Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
spanish-light-cavalry,spain,Spanish Light Cavalry,cavalry,3,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
spanish-heavy-cavalry,spain,Spanish Heavy Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
spanish-cuirassier-cavalry,spain,Spanish Cuirassier Cavalry,cavalry,3,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
austrian-light-cavalry,austria,Austrian Light Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
austrian-lancer-cavalry,austria,Austrian Lancer Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
austrian-heavy-cavalry,austria,Austrian Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
austrian-cuirassier-cavalry,austria,Austrian Cuirassier Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,FALSE,TRUE,,,,
austrian-militia-cavalry,austria,Austrian Militia Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
russian-light-cavalry,russia,Russian LIght Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
russian-lancer-cavalry,russia,Russian Lancer Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
russian-militia-lancer,russia,Russian Militia Lancer,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
russian-cossack,russia,Russian Cossack,cavalry,2,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,TRUE,,,,
russian-guard-light-cavalry,russia,Russian Guard Light Cavalry,cavalry,4,3,3,1,currentBlocks,currentBlocks,currentBlocks,FALSE,,TRUE,TRUE,,,,
russian-heavy-cavalry,russia,Russian Heavy Cavalry,cavalry,4,2,2,1,currentBlocks,currentBlocks,currentBlocksPlusOne,FALSE,,TRUE,TRUE,,,,
