Id,countryID,Name,unitClass,maxBlocks,maxMovement,maxMovementtoShoot,Range,standingFireRule,movingFireRule,meleeRule,meleeBonusVsInfantry,canBattleAfterEnteringTerrainIDs,hasSaber,,,,,,,,,,,,,,,,,
french-line-infantry,france,French Line Infantry,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocks,TRUE,,TRUE,,,,,,,,,,,,,,,,,
french-light-infantry,france,French Light Infantry,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,,,,,,,,,,,,
french-grenadier,france,French Grenadier,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocksPlusOne,FALSE,,TRUE,,,,,,,,,,,,,,,,,
french-young-guard,france,French Young Guard,infantry,4,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,,,,,,,,,,,,
french-old-guard,france,French Old Guard,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,,,,,,,,,,,,,
french-militia,france,French Militia,infantry,4,1,1,2,currentBlocks,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,FALSE,,,,,,,,,,,,,,,,,
british-line-infantry,britain,British Line,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,TRUE,,,,,,,,,,,,,,,,,
british-light-infantry,britain,British Light Infantry,infantry,5,2,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,TRUE,,,,,,,,,,,,,,,,,
british-rifles,britain,British Rifles,infantry,3,2,1,3,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocks,FALSE,forest|walled-garden|church|walled-farm,FALSE,,,,,,,,,,,,,,,,,
british-grenadier,britain,British Grenadier,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,,,,,,,,,,,,,
british-guard_grenadier,britain,British Guard Grenadier,infantry,5,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUpPlusOne,currentBlocksPlusOne,FALSE,,TRUE,,,,,,,,,,,,,,,,,
british-highland,britain,British Highland,infantry,4,1,1,2,currentBlocksPlusOne,halfCurrentBlocksRoundedUp,currentBlocks,FALSE,,,,,,,,,,,,,,,,,,,
